Date,Open,High,Low,Close,Volume
2023-07-17,86.6407,87.8369,86.5428,87.5843,12068479
2023-07-18,87.3831,89.0056,86.9253,88.5772,16694385
2023-07-19,88.7984,89.1674,88.0181,88.3561,21357890
2023-07-20,87.7919,88.1614,86.3192,86.5923,24783015
2023-07-21,87.1429,87.5793,86.445,86.5478,15132116
2023-07-24,86.9302,87.1429,86.3656,86.6996,11506497
2023-07-25,86.9792,87.9831,86.9642,87.6926,10991572
2023-07-26,86.774,86.9842,85.9043,86.5134,15773274
2023-07-27,87.6826,87.9482,85.8694,86.2633,14099866
2023-07-28,87.064,87.6976,86.8828,87.4375,11485625
2023-07-31,87.5154,87.7475,87.1379,87.6387,10317456
2023-08-01,87.3536,87.9732,87.1235,87.7869,9003733
2023-08-02,87.0141,87.069,85.3052,85.6142,16104297
2023-08-03,84.9158,85.7665,84.8624,85.2658,11520341
2023-08-04,84.9752,85.4839,83.9727,84.106,14684694
2023-08-07,84.46,84.75,83.7326,84.3417,9703165
2023-08-08,83.7516,83.801,82.8524,83.6932,11662731
2023-08-09,83.8055,83.8055,82.3272,82.6118,14552496
2023-08-10,83.2413,83.9632,82.2134,82.6218,12954498
2023-08-11,81.9638,82.494,81.7276,82.0122,10960747
2023-08-14,81.9288,83.3287,81.7326,83.3197,10509059
2023-08-15,83.0736,83.3681,82.3073,82.499,9530541
2023-08-16,82.3222,82.794,81.7087,81.7132,9950901
2023-08-17,82.0766,82.2259,80.814,80.9358,12835874
2023-08-18,80.1151,81.3891,80.0656,81.0591,13898108
2023-08-21,81.4765,82.774,81.3991,82.6068,13363068
2023-08-22,83.3487,83.3976,82.3322,82.5139,11564801
2023-08-23,82.7146,84.2473,82.7096,84.0017,10290530
2023-08-24,85.0596,85.0646,82.0022,82.0666,14173084
2023-08-25,82.3951,83.3582,81.6642,82.9019,15961570
2023-08-28,83.5309,83.7566,82.9368,83.5798,9121445
2023-08-29,83.3387,85.3392,83.2513,85.2558,13954286
2023-08-30,85.2708,85.9857,84.9752,85.8993,12481698
2023-08-31,86.095,86.6457,86.0027,86.3162,12173213
2023-09-01,86.8579,86.9692,86.1394,86.5828,9406721
2023-09-05,86.3656,87.1629,86.085,86.8928,10236731
2023-09-06,86.5528,86.769,85.4415,85.9737,18461282
2023-09-07,84.3761,84.9158,84.0666,84.7301,12733217
2023-09-08,84.7251,85.4515,84.6851,84.9063,8735459
2023-09-11,85.6542,85.7316,84.6018,85.3491,8417792
2023-09-12,84.6367,84.9353,83.6482,83.801,12458044
2023-09-13,83.7665,84.4625,83.5309,84.0117,10184216
2023-09-14,84.5274,84.8299,83.9967,84.6217,9639331
2023-09-15,84.3167,84.3417,82.774,82.9947,13346760
2023-09-18,82.7536,83.6697,82.7286,83.3936,10096541
2023-09-19,83.0391,83.5614,82.5863,83.3497,8363858
2023-09-20,83.5763,83.6847,82.0052,82.0402,10931495
2023-09-21,81.178,81.7546,80.7496,80.7896,14969271
2023-09-22,81.144,81.7062,80.7796,80.9613,12730445
2023-09-25,80.7546,81.3457,80.5484,81.2224,10739804
2023-09-26,80.6897,80.7346,79.484,79.7596,15155216
2023-09-27,80.144,80.3018,79.0911,79.8829,11844316
2023-09-28,79.5035,80.9613,79.1296,80.4491,13026374
2023-09-29,81.2419,81.9957,80.4491,80.7247,16127788
2023-10-02,80.7646,81.827,80.6403,81.5913,13865910
2023-10-03,81.1295,81.6862,79.7941,80.2084,15066636
2023-10-04,80.2723,81.4251,80.2723,81.2074,15427604
2023-10-05,81.2024,81.4486,80.3402,81.3158,12207626
2023-10-06,80.7596,83.1929,80.524,82.8379,16880897
2023-10-09,82.3307,83.3936,81.9518,83.2663,13340975
2023-10-10,83.3247,84.0641,83.0936,83.3936,20716591
2023-10-11,83.6497,84.2064,83.3836,84.1674,10548849
2023-10-12,84.2403,85.1075,83.6058,84.2453,15642464
2023-10-13,84.4141,84.5553,82.7486,83.0391,15425283
2023-10-16,83.1774,84.2164,83.1625,83.8374,14767574
2023-10-17,82.7835,83.8794,82.1879,83.448,15553558
2023-10-18,82.8624,83.5374,82.2518,82.5913,13060473
2023-10-19,82.9218,83.478,81.9768,82.1185,20298799
2023-10-20,82.0796,82.138,80.6453,80.7296,15586232
2023-10-23,80.2279,81.6463,79.7791,80.8245,15391772
2023-10-24,81.144,81.503,80.504,81.3807,11352078
2023-10-25,81.7691,81.8669,80.1815,80.4191,15768146
2023-10-26,80.5634,80.9169,78.5435,78.8834,20963606
2023-10-27,79.3662,80.144,78.9918,79.3412,16480873
2023-10-30,79.7596,80.4765,79.5185,80.1935,14398769
2023-10-31,80.2329,80.834,79.6073,80.7646,11060842
2023-11-01,80.9069,82.4331,80.9069,82.3257,21267491
2023-11-02,83.0691,83.793,82.9558,83.7191,16441384
2023-11-03,83.6352,84.9203,83.453,84.5803,15902289
2023-11-06,84.6941,85.1664,84.429,85.1365,11269622
2023-11-07,85.3641,86.3187,85.2358,86.0681,13229919
2023-11-08,86.3631,86.6976,85.9702,86.5558,10887358
2023-11-09,86.6831,87.3162,86.0381,86.1514,14595466
2023-11-10,86.6736,88.4584,86.5758,88.403,13555417
2023-11-13,88.0331,88.1065,87.5154,87.8848,11905130
2023-11-14,89.2293,89.8678,88.9537,89.6421,16761998
2023-11-15,90.041,90.1808,89.4115,89.7565,13349654
2023-11-16,89.5797,90.3026,89.4165,90.2048,11731544
2023-11-17,90.0026,90.3615,89.6272,90.0171,13482374
2023-11-20,90.1309,91.5587,90.1209,91.3226,11290458
2023-11-21,90.9082,91.052,90.2512,90.5832,13555847
2023-11-22,91.1538,91.7649,90.742,90.9876,11385910
2023-11-24,90.8348,90.9132,90.4664,90.8104,4258268
2023-11-27,90.6826,91.3301,90.5193,90.8054,8549518
2023-11-28,90.5003,91.2182,90.5003,90.9776,11181485
2023-11-29,91.6426,92.036,90.9901,91.047,10930779
2023-11-30,91.4254,91.5487,90.4165,91.1783,13955113
2023-12-01,90.9427,91.5487,90.5048,91.387,14207026
2023-12-04,90.4759,90.4759,89.2892,90.2732,18501738
2023-12-05,89.7909,90.9182,89.7909,90.8154,11007850
2023-12-06,91.382,91.5143,89.9776,90.046,14957616
2023-12-07,90.4759,91.2931,90.2832,91.1394,14142750
2023-12-08,90.9427,91.9926,90.8298,91.9182,13005591
2023-12-11,91.6476,92.7399,91.4354,92.7205,38375914
2023-12-12,92.3805,93.366,92.3021,93.336,15286638
2023-12-13,93.5582,94.3859,93.336,94.1583,29846496
2023-12-14,94.2327,94.5871,93.2327,93.9266,15664404
2023-12-15,93.8298,94.9426,93.8298,94.4004,18409887
2023-12-18,94.382,94.8947,93.9816,94.683,10271437
2023-12-19,94.663,95.0519,94.6086,95.042,9121841
2023-12-20,94.9346,95.2696,93.5911,93.6056,13915158
2023-12-21,94.5592,94.8697,93.8627,94.658,11484727
2023-12-22,94.9296,95.0569,94.3121,94.7803,10349488
2023-12-26,94.8403,95.371,94.8403,95.1757,6289029
2023-12-27,95.2257,95.3685,94.7659,95.1708,11918972
2023-12-28,95.5067,95.6051,95.2382,95.2846,9741549
2023-12-29,95.334,95.5267,94.5192,94.993,12350646
2024-01-02,93.7005,93.8488,91.9187,92.5058,23854491
2024-01-03,91.6626,92.1653,91.401,91.5632,18428782
2024-01-04,91.0011,91.6301,90.8034,90.8912,12286461
2024-01-05,90.9961,91.6526,90.5218,90.8668,16565115
2024-01-08,91.3266,93.2117,91.2322,93.1478,16650359
2024-01-09,92.4319,93.5622,92.2347,93.2951,10773463
2024-01-10,93.3395,94.2926,93.1428,94.0909,9913863
2024-01-11,94.5542,95.0275,93.2412,94.5692,13471537
2024-01-12,94.7214,95.0914,94.4014,94.8747,8950586
2024-01-16,94.7559,95.5092,94.2082,95.1113,11930153
2024-01-17,94.4064,94.7559,93.6156,94.6431,14294133
2024-01-18,95.9061,96.6485,95.5462,96.5626,19167029
2024-01-19,97.1947,98.8087,96.9815,98.7888,18573758
2024-01-22,99.272,99.8297,98.8482,99.2226,15165382
2024-01-23,99.3165,99.6859,98.7388,99.623,13437907
2024-01-24,100.308,101.315,100.022,100.308,17882890
2024-01-25,101.232,101.738,100.261,100.728,17295549
2024-01-26,100.022,100.464,99.3409,99.5681,10691693
2024-01-29,99.6909,100.502,99.4942,100.482,7739860
2024-01-30,100.448,100.6,99.3459,99.6525,12412303
2024-01-31,98.7044,99.1098,97.5097,97.5591,16509075
2024-02-01,97.95,98.9241,97.8851,98.7888,14491214
2024-02-02,98.1168,100.126,98.0853,99.8097,13041498
2024-02-05,100.215,100.324,99.0998,100.037,10218888
2024-02-06,100.146,100.318,98.9365,99.5781,12843497
2024-02-07,100.278,100.92,99.8786,100.895,11515060
2024-02-08,101.069,101.482,100.945,101.212,10078753
2024-02-09,101.636,102.707,101.518,102.574,11764657
2024-02-12,102.569,102.884,101.646,101.794,10894363
2024-02-13,99.5881,100.738,99.2845,100.067,19714737
2024-02-14,100.812,101.193,100.1,101.113,11946440
2024-02-15,101.247,101.344,100.338,100.901,10938087
2024-02-16,101.173,101.374,99.8372,99.9725,11235974
2024-02-20,99.3859,99.7408,97.965,98.9555,17676577
2024-02-21,97.999,98.3345,97.2581,98.3345,16175909
2024-02-22,100.875,101.826,100.643,101.552,18795180
2024-02-23,102.357,102.485,100.995,101.315,12485686
2024-02-26,101.76,102.011,101.31,101.414,18488392
2024-02-27,101.69,101.69,100.748,101.502,10115495
2024-02-28,101.167,101.3,100.658,101.025,8438395
2024-02-29,101.562,102.389,100.995,102.149,12144066
2024-03-01,102.411,104.163,102.361,104.014,13309131
2024-03-04,103.867,104.609,103.635,104.014,20712144
2024-03-05,102.988,103.038,100.802,101.458,18279690
2024-03-06,102.519,103.032,101.577,102.263,14490910
2024-03-07,103.137,104.192,102.622,103.877,12279892
2024-03-08,104.064,104.799,102.267,102.332,15107814
2024-03-11,101.864,102.277,101.315,102.05,15853755
2024-03-12,103.033,104.153,102.055,104.143,17611022
2024-03-13,103.828,103.887,102.589,103.018,12983685
2024-03-14,103.453,103.818,102.409,103.038,16233541
2024-03-15,101.558,102.021,101.069,101.482,19891039
2024-03-18,102.373,103.03,101.904,101.981,14338935
2024-03-19,101.482,102.526,100.973,102.511,13543643
2024-03-20,102.591,103.693,102.229,103.657,13510403
2024-03-21,104.765,104.765,103.643,103.733,12453047
2024-03-22,103.737,104.147,103.366,103.767,11638749
2024-03-25,102.783,103.517,102.487,103.08,8878414
2024-03-26,103.451,103.618,102.571,102.654,8636152
2024-03-27,103.301,103.356,102.387,103.178,12638166
2024-03-28,102.936,103.253,102.748,102.956,8955721
2024-04-01,103.174,103.846,102.867,103.243,11788276
2024-04-02,102.095,102.396,101.418,102.249,11549156
2024-04-03,101.735,103.05,101.71,102.521,10792170
2024-04-04,103.499,103.861,100.845,100.899,16653300
2024-04-05,101.34,102.575,101.059,102.055,12955485
2024-04-08,102.12,102.457,101.562,101.937,8219207
2024-04-09,102.461,102.674,101.171,102.451,9508830
2024-04-10,101.284,101.572,100.761,101.197,13995231
2024-04-11,101.646,103.385,101.154,103.218,10684594
2024-04-12,101.987,102.467,101.171,101.547,16372207
2024-04-15,102.17,102.235,99.4657,99.6195,17385944
2024-04-16,99.8367,100.356,99.3419,99.7373,15084837
2024-04-17,100.103,100.271,98.2251,98.2995,13240306
2024-04-18,98.2696,98.5217,97.0734,97.1772,15455741
2024-04-19,96.8068,97.1233,94.9331,95.1797,22126804
2024-04-22,95.9066,96.6031,94.9531,96.025,13445696
2024-04-23,96.4254,97.5921,96.2821,97.4488,12290814
2024-04-24,98.1702,98.5736,97.3549,97.8936,9265078
2024-04-25,96.6725,97.8637,96.2426,97.6819,11700476
2024-04-26,98.4523,99.5052,98.0669,98.7838,10219894
2024-04-29,99.2925,99.4408,98.628,99.2091,7580687
2024-04-30,98.8677,99.268,96.9935,97.0234,15100041
2024-05-01,96.5052,98.1258,96.01,96.03,20687849
2024-05-02,97.2556,97.5472,96.03,97.4144,13492777
2024-05-03,100.049,100.464,99.6924,100.128,13469012
2024-05-06,100.51,101.304,100.356,101.304,8112800
2024-05-07,101.602,101.651,100.963,100.973,10135794
2024-05-08,100.613,101.368,100.588,101.261,7258130
2024-05-09,101.097,101.31,100.727,101.231,9699519
2024-05-10,101.76,102.215,101.284,101.607,8854276
2024-05-13,102.353,102.437,101.764,102.085,6657373
2024-05-14,102.051,103.132,101.991,102.99,9937694
2024-05-15,103.638,105.342,103.564,105.308,14472521
2024-05-16,105.37,105.697,104.899,104.943,12204707
2024-05-17,105.185,105.249,104.137,104.711,7703263
2024-05-20,104.814,106.139,104.721,105.941,6349163
2024-05-21,105.536,106.287,105.348,106.115,6210811
2024-05-22,106.417,106.74,105.724,106.351,11917867
2024-05-23,107.568,107.578,105.151,105.487,9508098
2024-05-24,105.754,106.604,105.402,106.377,5974060
2024-05-28,106.98,107.064,106.157,106.826,8887061
2024-05-29,105.7,106.658,105.7,106.149,8667220
2024-05-30,104.968,105.126,103.405,103.727,10579502
2024-05-31,104.033,104.053,101.602,103.891,12219379
2024-06-03,104.685,104.78,102.906,104.152,9738335
2024-06-04,104.098,104.536,103.564,104.37,6478692
2024-06-05,105.195,106.688,105.027,106.688,8889525
2024-06-06,106.748,106.82,106.049,106.331,7138505
2024-06-07,106.447,107.035,106.055,106.579,6471909
2024-06-10,106.219,107.138,106.149,106.851,6812534
2024-06-11,106.579,108.868,106.531,108.838,12864881
2024-06-12,109.918,112.369,109.718,111.246,18025368
2024-06-13,112.279,112.59,111.443,112.126,12838978
2024-06-14,111.967,112.61,111.893,112.545,7954629
2024-06-17,112.823,114.649,112.438,114.251,11735587
2024-06-18,114.365,114.77,113.939,114.395,8777110
2024-06-20,114.909,114.978,112.729,113.109,13394601
2024-06-21,113.135,113.578,112.398,112.912,13716102
2024-06-24,111.739,112.243,110.114,110.144,13881674
2024-06-25,110.951,112.223,110.327,112.164,9217470
2024-06-26,111.996,112.565,111.164,112.036,9551184
2024-06-27,111.818,112.645,111.684,112.09,8000250
2024-06-28,112.482,114.09,111.876,112.03,12609115
2024-07-01,112.198,113.065,110.568,112.877,9371533
2024-07-02,111.896,113.452,111.896,113.442,7145035
2024-07-03,113.278,115.026,113.184,114.972,6309632
2024-07-05,115.101,115.833,114.624,115.323,6736435
2024-07-08,115.695,116.448,115.497,116.111,7745309
2024-07-09,116.703,116.983,115.353,116.016,8768749
2024-07-10,116.814,117.782,116.16,117.7,8834095
2024-07-11,117.879,117.929,114.421,114.754,14247003
2024-07-12,115.072,117.007,114.67,115.779,9862121
2024-07-15,116.369,117.13,115.328,115.988,8711526
2024-07-16,116.26,116.318,114.774,115.601,7726303
2024-07-17,112.957,113.071,111.05,111.104,12560931
2024-07-18,112.323,112.343,109.713,111.114,10942100
2024-07-19,110.524,111.203,109.133,109.376,8554860
2024-07-22,110.822,112.095,110.352,111.966,10704144
2024-07-23,111.501,112.525,111.371,111.521,5584294
2024-07-24,110.065,110.411,106.647,106.905,14439180
2024-07-25,106.79,108.384,104.22,105.762,21362778
2024-07-26,107.188,107.954,106.197,107.103,11811121
2024-07-29,107.954,108.421,106.315,106.627,7414917
2024-07-30,107.024,107.128,103.152,103.948,10798062
2024-07-31,107.158,108.742,106.405,108.351,14755580
2024-08-01,108.054,109.307,103.201,104.31,17155941
2024-08-02,101.537,102.374,99.6605,101.378,18801994
2024-08-05,95.0325,99.8926,94.4578,98.0015,31734211
2024-08-06,99.2541,101.342,98.1992,99.3329,24813653
2024-08-07,101.74,102.235,97.5901,97.7244,17824421
2024-08-08,99.4917,101.626,98.0504,101.373,14582575
2024-08-09,101.314,102.413,100.7,101.83,9627829
2024-08-12,102.146,103.453,101.67,102.661,8663273
2024-08-13,103.934,105.848,103.805,105.816,10096353
2024-08-14,106.47,106.934,104.964,106.395,9008851
2024-08-15,107.772,109.564,107.539,109.455,9571957
2024-08-16,108.876,109.85,108.579,109.639,6771232
2024-08-19,109.38,111.451,108.935,111.446,13130119
2024-08-20,111.154,111.823,110.401,111.054,7291497
2024-08-21,111.124,112.095,110.772,111.709,7611718
2024-08-22,112.333,112.595,108.911,109.139,9171586
2024-08-23,110.223,111.389,109.49,110.906,10784377
2024-08-26,110.807,111.224,108.955,109.514,6329567
2024-08-27,108.836,110.411,108.301,110.178,7730127
2024-08-28,110.035,110.247,107.747,108.657,9089420
2024-08-29,108.687,110.217,107.4,107.678,13412266
2024-08-30,108.851,109.53,107.678,109.109,10145735
2024-09-03,107.954,108.034,103.503,104.097,14908720
2024-09-04,103.042,105.013,102.716,103.831,12449379
2024-09-05,103.082,104.959,102.988,103.671,8961162
2024-09-06,103.587,103.835,100.517,100.983,12561535
2024-09-09,102.235,102.75,101.289,102.636,11027723
2024-09-10,103.344,104.394,102.359,104.172,10220916
2024-09-11,104.528,107.89,102.874,107.727,12892359
2024-09-12,107.648,109.079,106.89,108.618,10708798
2024-09-13,108.752,109.435,108.311,109.163,8125238
2024-09-16,108.376,109.093,107.742,108.747,6964566
2024-09-17,109.837,110.005,107.984,108.534,7057596
2024-09-18,108.807,109.57,107.439,107.543,12865051
2024-09-19,110.564,111.423,109.959,110.738,14068988
2024-09-20,110.302,110.694,109.212,110.197,14633027
2024-09-23,110.297,110.441,109.84,110.177,7549505
2024-09-24,110.638,111.156,109.448,110.932,7081126
2024-09-25,110.713,111.735,110.664,111.249,6159657
2024-09-26,113.422,113.546,111.537,112.723,9317537
2024-09-27,112.881,112.916,111.254,111.671,6141741
2024-09-30,111.17,112.068,110.628,111.998,5545209
2024-10-01,111.666,111.731,108.619,109.27,11384241
2024-10-02,109.294,110.576,108.674,110.079,4567990
2024-10-03,109.756,111.343,109.742,110.534,5830429
2024-10-04,111.963,112.043,110.588,111.765,5054834
2024-10-07,111.264,112.003,110.718,110.996,4465296
2024-10-08,111.795,113.258,111.539,113.07,7926716
2024-10-09,113.158,114.492,112.807,114.335,7639464
2024-10-10,113.572,114.6,113.254,114.305,5737055
2024-10-11,114.032,114.762,113.863,114.502,8918588
2024-10-14,115.232,116.235,115.179,115.997,9887367
2024-10-15,116.086,116.367,113.025,113.446,14290953
2024-10-16,113.804,113.973,112.575,113.8,5804188
2024-10-17,115.387,115.451,114.146,114.146,6098828
2024-10-18,114.742,114.975,114.311,114.552,4572780
2024-10-21,114.195,115.104,113.987,115.09,6372165
2024-10-22,114.478,115.361,114.151,114.97,6217745
2024-10-23,114.542,114.716,112.356,113.322,6131541
2024-10-24,113.784,113.937,112.981,113.656,4870774
2024-10-25,114.301,115.528,114.081,114.245,8380251
2024-10-28,115.064,115.064,114.186,114.211,5945588
2024-10-29,114.429,116.081,114.003,115.749,7510337
2024-10-30,114.692,115,113.833,113.907,8406810
2024-10-31,112.658,112.658,110.212,110.251,12205559
2024-11-01,110.371,111.908,110.222,111.08,11656857
2024-11-04,111.184,111.795,110.524,110.996,6361669
2024-11-05,111.338,112.648,111.338,112.558,7330232
2024-11-06,114.732,115.977,114.39,115.764,11054178
2024-11-07,116.567,117.917,116.512,117.783,10545305
2024-11-08,117.634,118.041,117.226,117.654,7293354
2024-11-11,117.638,117.714,116.305,117.004,7324430
2024-11-12,116.997,117.301,116.23,117.152,7590080
2024-11-13,116.927,117.609,116.384,116.745,6379678
2024-11-14,116.905,117.138,116.16,116.35,6653967
2024-11-15,114.905,115.06,113.085,113.462,11318253
2024-11-18,113.472,114.311,112.971,113.829,6220718
2024-11-19,113.191,114.856,113.115,114.762,6961183
2024-11-20,114.846,114.9,113.135,114.662,8944676
2024-11-21,115.789,116.37,114.003,115.828,10675133
2024-11-22,115.705,116.155,115.203,115.887,7146670
2024-11-25,116.731,116.965,115.357,115.882,11224981
2024-11-26,116.438,116.825,115.967,116.462,6278969
2024-11-27,115.689,115.744,113.868,114.886,6419475
2024-11-29,115.168,116.195,115.04,115.952,4201162
2024-12-02,116.036,117.49,116.006,117.053,9472226
2024-12-03,116.572,117.506,116.33,117.476,5619811
2024-12-04,118.944,119.683,118.596,119.623,10925935
2024-12-05,119.41,119.573,118.854,119.018,5682328
2024-12-06,119.166,119.995,119.097,119.479,6707233
